feedback_id,customer_id,feedback_date,rating,feedback_text,sentiment_label
FB0000149,CUST000240,2024-03-19,5,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000150,CUST000241,2022-06-18,4,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000151,CUST000246,2023-01-19,5,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000152,CUST000249,2025-11-24,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000153,CUST000250,2022-11-04,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000154,CUST000251,2026-01-03,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000155,CUST000252,2026-04-23,5,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000156,CUST000253,2021-07-01,2,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000157,CUST000255,2025-10-04,4,Customer support resolved my issue quickly and the experience was smooth overall.,Neutral
FB0000158,CUST000257,2022-04-18,4,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000159,CUST000258,2022-04-24,5,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000160,CUST000259,2024-04-22,4,The streaming quality has been excellent and the app feels much faster after the update.,Neutral
FB0000161,CUST000262,2026-04-06,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000162,CUST000263,2026-01-20,1,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000163,CUST000264,2024-11-15,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000164,CUST000265,2026-04-03,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000165,CUST000267,2023-05-18,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000166,CUST000267,2026-02-23,1,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000167,CUST000267,2023-12-06,4,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000168,CUST000268,2026-04-25,2,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000169,CUST000268,2026-05-01,1,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000170,CUST000268,2026-01-18,5,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000171,CUST000269,2025-10-25,1,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000172,CUST000270,2026-01-03,4,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000173,CUST000270,2024-07-26,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000174,CUST000270,2024-10-02,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000175,CUST000274,2021-12-22,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000176,CUST000275,2023-05-07,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000177,CUST000276,2026-05-11,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000178,CUST000276,2024-07-31,5,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000179,CUST000278,2024-08-01,4,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000180,CUST000280,2024-12-25,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000181,CUST000282,2026-06-13,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000182,CUST000284,2019-08-24,5,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000183,CUST000287,2026-01-20,2,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000184,CUST000288,2020-08-31,1,The app keeps crashing on my device and I have not been able to watch anything for days.,Negative
FB0000185,CUST000289,2022-12-02,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000186,CUST000289,2023-05-08,4,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000187,CUST000292,2022-08-21,4,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000188,CUST000293,2025-07-21,2,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000189,CUST000293,2026-04-09,1,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000190,CUST000296,2026-06-13,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000191,CUST000298,2024-07-12,1,"Not enough new content being added, feels like I have already watched everything worth watching.",Negative
FB0000192,CUST000299,2026-02-07,1,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000193,CUST000299,2025-09-15,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000194,CUST000299,2025-10-05,4,The streaming quality has been excellent and the app feels much faster after the update.,Neutral
FB0000195,CUST000299,2025-11-05,2,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000196,CUST000306,2025-11-10,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000197,CUST000307,2026-05-18,1,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000198,CUST000308,2020-11-29,2,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000199,CUST000308,2025-06-23,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000200,CUST000309,2025-08-30,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000201,CUST000313,2026-01-14,5,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000202,CUST000313,2025-06-22,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000203,CUST000314,2026-05-26,1,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000204,CUST000315,2024-10-02,1,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000205,CUST000316,2023-07-07,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000206,CUST000317,2026-01-16,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000207,CUST000318,2021-01-02,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000208,CUST000320,2025-11-17,2,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000209,CUST000325,2024-12-12,1,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000210,CUST000326,2025-02-18,4,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000211,CUST000328,2026-04-29,1,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000212,CUST000330,2026-03-25,2,"Not enough new content being added, feels like I have already watched everything worth watching.",Negative
FB0000213,CUST000331,2025-12-10,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000214,CUST000340,2021-07-06,4,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000215,CUST000341,2026-05-28,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000216,CUST000341,2025-01-08,4,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000217,CUST000345,2026-04-13,5,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000218,CUST000345,2026-06-01,4,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000219,CUST000345,2026-03-02,2,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000220,CUST000346,2022-08-02,4,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000221,CUST000346,2020-07-11,2,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000222,CUST000348,2026-01-09,5,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000223,CUST000348,2024-07-16,5,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000224,CUST000348,2025-12-29,5,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000225,CUST000349,2025-02-10,4,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000226,CUST000351,2026-06-05,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000227,CUST000354,2025-12-21,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000228,CUST000357,2023-03-10,2,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000229,CUST000357,2024-06-13,2,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000230,CUST000358,2022-06-30,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000231,CUST000358,2020-02-14,4,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000232,CUST000358,2026-03-13,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000233,CUST000359,2026-01-08,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000234,CUST000362,2023-05-11,5,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000235,CUST000363,2024-09-10,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000236,CUST000364,2025-05-03,2,The app keeps crashing on my device and I have not been able to watch anything for days.,Negative
FB0000237,CUST000366,2026-03-02,5,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000238,CUST000368,2021-12-04,2,The app keeps crashing on my device and I have not been able to watch anything for days.,Negative
FB0000239,CUST000369,2025-11-20,4,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000240,CUST000373,2024-01-18,5,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000241,CUST000373,2026-06-08,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000242,CUST000375,2025-12-28,4,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000243,CUST000375,2026-02-11,4,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000244,CUST000376,2025-12-02,4,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000245,CUST000376,2025-09-10,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000246,CUST000376,2025-11-07,5,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000247,CUST000379,2026-01-05,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000248,CUST000381,2025-07-17,4,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000249,CUST000382,2025-04-03,1,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000250,CUST000383,2020-11-30,2,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000251,CUST000383,2021-11-17,1,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000252,CUST000386,2026-04-24,5,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000253,CUST000390,2025-03-05,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000254,CUST000390,2023-05-15,4,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000255,CUST000392,2023-07-11,4,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000256,CUST000395,2026-05-08,1,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000257,CUST000398,2023-05-21,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000258,CUST000404,2025-03-07,4,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000259,CUST000404,2024-10-14,4,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000260,CUST000406,2023-12-01,1,The app keeps crashing on my device and I have not been able to watch anything for days.,Negative
FB0000261,CUST000410,2024-12-12,1,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000262,CUST000410,2026-01-23,4,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000263,CUST000412,2023-05-31,5,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000264,CUST000413,2026-04-09,5,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000265,CUST000413,2024-10-03,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000266,CUST000413,2026-06-23,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000267,CUST000414,2023-01-12,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000268,CUST000416,2023-12-21,5,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000269,CUST000417,2024-02-02,3,"Average experience overall, some months are better than others depending on new releases.",Positive
FB0000270,CUST000417,2026-06-17,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000271,CUST000417,2024-12-23,4,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000272,CUST000419,2025-07-16,4,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000273,CUST000423,2024-04-06,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000274,CUST000425,2024-03-03,5,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000275,CUST000426,2024-02-19,4,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000276,CUST000429,2025-12-09,4,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000277,CUST000433,2026-05-22,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
