ticket_id,customer_id,ticket_date,issue_category,issue_subcategory,priority,ticket_status,resolution_time_hours,customer_satisfaction_score,ticket_description,support_agent_id
TCK0000043,CUST000057,2020-04-28,Streaming Quality,Audio sync issue,Medium,Escalated,,,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0079
TCK0000044,CUST000057,2022-01-14,Streaming Quality,App crashing,Medium,Resolved,14.2,5.0,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0067
TCK0000045,CUST000057,2023-05-07,Account Access,Login failure,High,Closed,2.3,5.0,"Login keeps failing after the recent app update, this has been going on for two days now.",AGT0111
TCK0000046,CUST000057,2022-09-12,Account Access,Password reset,Critical,Resolved,3.9,5.0,I requested a password reset link three times but never received the email in my inbox or spam folder.,AGT0040
TCK0000047,CUST000058,2026-05-21,Billing & Payments,Refund request,High,Escalated,,,"Please process a refund, I was charged after cancellation and this needs to be corrected quickly.",AGT0046
TCK0000048,CUST000061,2025-11-02,Billing & Payments,Invoice question,High,Resolved,34.6,5.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0021
TCK0000049,CUST000063,2024-11-17,Device & App,Device not supported,Medium,Closed,12.7,3.0,My new smart TV model shows the app as unsupported even though older models work fine.,AGT0008
TCK0000050,CUST000066,2025-08-27,Subscription,Cancellation request,Low,Resolved,1.6,4.0,"I want to cancel my subscription immediately, I have not been using the service for the last few months.",AGT0024
TCK0000051,CUST000068,2024-06-18,Billing & Payments,Refund request,Medium,Resolved,12.1,4.0,"Please process a refund, I was charged after cancellation and this needs to be corrected quickly.",AGT0005
TCK0000052,CUST000069,2024-10-05,Billing & Payments,Price dispute,Low,Closed,13.6,5.0,I did not receive any communication about the plan price change and feel this was handled poorly.,AGT0118
TCK0000053,CUST000070,2026-04-03,Subscription,Auto-renew complaint,High,Resolved,3.9,2.0,I was auto renewed without any reminder notification and would like a refund for this cycle.,AGT0014
TCK0000054,CUST000073,2024-05-31,Account Access,Account locked,Low,Pending,,,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0076
TCK0000055,CUST000074,2023-06-27,Device & App,Download failure,Medium,Resolved,6.4,1.0,Downloads for offline viewing keep failing at random percentages and I have to restart every time.,AGT0010
TCK0000056,CUST000074,2023-08-01,Device & App,Download failure,Low,Closed,22.5,4.0,Downloads for offline viewing keep failing at random percentages and I have to restart every time.,AGT0094
TCK0000057,CUST000074,2021-11-18,Billing & Payments,Refund request,Low,Pending,,,"Please process a refund, I was charged after cancellation and this needs to be corrected quickly.",AGT0004
TCK0000058,CUST000076,2025-12-12,Streaming Quality,Low resolution,High,Escalated,,,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0039
TCK0000059,CUST000077,2024-01-26,Streaming Quality,Buffering,Medium,Closed,1.6,2.0,The video quality drops and buffers every evening during peak hours which is very annoying.,AGT0024
TCK0000060,CUST000078,2024-07-06,Billing & Payments,Price dispute,Medium,Resolved,5.7,3.0,The price increased without any prior notice and I am not happy paying more for the same plan.,AGT0119
TCK0000061,CUST000079,2025-08-04,Subscription,Plan upgrade request,Low,Resolved,9.7,5.0,I want to upgrade to the premium plan for better video quality and more simultaneous streams.,AGT0056
TCK0000062,CUST000080,2025-07-04,Streaming Quality,Buffering,Medium,Closed,60.9,3.0,The video quality drops and buffers every evening during peak hours which is very annoying.,AGT0042
TCK0000063,CUST000081,2023-10-14,Streaming Quality,Buffering,Low,Resolved,10.0,4.0,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0118
TCK0000064,CUST000082,2026-01-20,Streaming Quality,Low resolution,High,Resolved,6.3,3.0,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0113
TCK0000065,CUST000086,2026-03-19,Device & App,Sync across devices,Low,Resolved,9.3,3.0,My watch history does not sync between my phone and my TV even though I am logged into the same account.,AGT0049
TCK0000066,CUST000088,2026-05-01,Subscription,Plan upgrade request,Medium,Resolved,11.7,5.0,I want to upgrade to the premium plan for better video quality and more simultaneous streams.,AGT0101
TCK0000067,CUST000091,2025-12-25,Streaming Quality,Buffering,Critical,Closed,5.6,4.0,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0082
TCK0000068,CUST000091,2026-03-07,Subscription,Plan downgrade request,Medium,Resolved,25.6,2.0,"I would like to downgrade my plan next cycle, please let me know how to do that from my account settings.",AGT0063
TCK0000069,CUST000092,2026-01-08,Streaming Quality,Audio sync issue,Medium,Resolved,53.8,1.0,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0082
TCK0000070,CUST000094,2024-01-21,Account Access,Login failure,Low,Resolved,0.5,5.0,"Login keeps failing after the recent app update, this has been going on for two days now.",AGT0078
TCK0000071,CUST000096,2023-11-06,Billing & Payments,Failed payment,High,Pending,,,"My payment failed twice this month even though my card has sufficient balance, and I still lost access to my account.",AGT0064
TCK0000072,CUST000096,2020-10-09,Billing & Payments,Price dispute,High,Resolved,35.0,1.0,The price increased without any prior notice and I am not happy paying more for the same plan.,AGT0111
TCK0000073,CUST000098,2021-06-16,Billing & Payments,Invoice question,High,Closed,6.7,1.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0070
TCK0000074,CUST000101,2026-06-05,Billing & Payments,Failed payment,High,Resolved,21.7,2.0,"I was charged but the payment shows as failed on my end, please check and confirm my subscription status.",AGT0115
TCK0000075,CUST000103,2025-03-25,Streaming Quality,Low resolution,Critical,Closed,5.7,3.0,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0099
TCK0000076,CUST000103,2026-03-12,Billing & Payments,Price dispute,Low,Escalated,,,I did not receive any communication about the plan price change and feel this was handled poorly.,AGT0107
TCK0000077,CUST000105,2025-05-26,Subscription,Plan downgrade request,Medium,Resolved,25.9,4.0,"I would like to downgrade my plan next cycle, please let me know how to do that from my account settings.",AGT0110
TCK0000078,CUST000107,2025-09-05,Subscription,Auto-renew complaint,High,Closed,0.5,5.0,I was auto renewed without any reminder notification and would like a refund for this cycle.,AGT0119
TCK0000079,CUST000109,2020-06-11,Billing & Payments,Price dispute,Medium,Resolved,9.8,2.0,The price increased without any prior notice and I am not happy paying more for the same plan.,AGT0115
TCK0000080,CUST000110,2026-06-25,Account Access,Email verification issue,High,Resolved,23.8,3.0,The verification email never arrived after I updated my email address in account settings.,AGT0077
TCK0000081,CUST000110,2025-11-30,Streaming Quality,Audio sync issue,Low,Pending,,,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0023
TCK0000082,CUST000110,2025-09-28,Account Access,Account locked,Medium,Escalated,,,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0001
TCK0000083,CUST000110,2026-02-23,Streaming Quality,Low resolution,Low,Resolved,9.3,3.0,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0040
TCK0000084,CUST000110,2026-03-03,Billing & Payments,Invoice question,Low,Closed,62.1,4.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0082
TCK0000085,CUST000111,2026-04-02,Billing & Payments,Failed payment,High,Resolved,4.4,3.0,"I was charged but the payment shows as failed on my end, please check and confirm my subscription status.",AGT0073
TCK0000086,CUST000114,2023-12-13,Billing & Payments,Refund request,Medium,Resolved,20.4,4.0,I want to request a refund since I cancelled within the trial period but was still charged the full amount.,AGT0001
TCK0000087,CUST000115,2022-09-03,Streaming Quality,Buffering,Critical,Resolved,11.8,3.0,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0022
TCK0000088,CUST000116,2025-12-08,Subscription,Auto-renew complaint,High,Pending,,,I was auto renewed without any reminder notification and would like a refund for this cycle.,AGT0070
TCK0000089,CUST000117,2026-06-15,Billing & Payments,Refund request,High,Closed,20.4,3.0,"Please process a refund, I was charged after cancellation and this needs to be corrected quickly.",AGT0108
TCK0000090,CUST000118,2021-06-21,Billing & Payments,Refund request,Low,Closed,19.4,3.0,"Please process a refund, I was charged after cancellation and this needs to be corrected quickly.",AGT0076
TCK0000091,CUST000119,2025-12-15,Account Access,Account locked,Low,Closed,13.6,3.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0077
TCK0000092,CUST000119,2024-06-13,Streaming Quality,Low resolution,High,Resolved,17.3,2.0,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0098
TCK0000093,CUST000119,2025-02-28,Device & App,Device not supported,Low,Closed,55.7,4.0,My new smart TV model shows the app as unsupported even though older models work fine.,AGT0028
TCK0000094,CUST000121,2026-04-14,Subscription,Auto-renew complaint,High,Resolved,78.6,3.0,I was auto renewed without any reminder notification and would like a refund for this cycle.,AGT0113
TCK0000095,CUST000122,2020-11-06,Streaming Quality,Low resolution,High,Pending,,,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0094
TCK0000096,CUST000123,2023-06-13,Account Access,Account locked,Low,Resolved,3.2,2.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0077
TCK0000097,CUST000124,2026-02-26,Billing & Payments,Price dispute,Medium,Resolved,3.7,5.0,The price increased without any prior notice and I am not happy paying more for the same plan.,AGT0067
TCK0000098,CUST000125,2024-01-14,Billing & Payments,Invoice question,High,Resolved,10.6,3.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0066
TCK0000099,CUST000125,2023-12-04,Streaming Quality,Buffering,Low,Resolved,28.3,4.0,The video quality drops and buffers every evening during peak hours which is very annoying.,AGT0104
TCK0000100,CUST000125,2024-01-30,Streaming Quality,App crashing,Low,Resolved,28.3,3.0,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0048
TCK0000101,CUST000128,2026-01-05,Billing & Payments,Invoice question,Low,Closed,11.0,3.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0052
TCK0000102,CUST000128,2025-06-14,Subscription,Auto-renew complaint,Medium,Resolved,21.9,4.0,I was auto renewed without any reminder notification and would like a refund for this cycle.,AGT0116
TCK0000103,CUST000128,2025-11-10,Content,Missing subtitles,Critical,Resolved,2.1,4.0,Subtitles are missing for several titles in my preferred language even though it is listed as available.,AGT0055
TCK0000104,CUST000132,2024-09-18,Content,Missing subtitles,High,Resolved,17.6,4.0,Subtitles are missing for several titles in my preferred language even though it is listed as available.,AGT0040
TCK0000105,CUST000132,2023-11-19,Subscription,Plan upgrade request,Medium,Resolved,4.8,2.0,I want to upgrade to the premium plan for better video quality and more simultaneous streams.,AGT0025
TCK0000106,CUST000132,2021-10-13,Streaming Quality,Audio sync issue,Medium,Pending,,,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0036
TCK0000107,CUST000132,2021-08-18,Billing & Payments,Refund request,Medium,Closed,2.7,4.0,"Please process a refund, I was charged after cancellation and this needs to be corrected quickly.",AGT0108
TCK0000108,CUST000133,2026-06-13,Billing & Payments,Invoice question,Medium,Resolved,4.9,3.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0030
TCK0000109,CUST000134,2022-03-11,Streaming Quality,Low resolution,High,Resolved,0.5,2.0,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0089
TCK0000110,CUST000135,2025-11-03,Streaming Quality,Low resolution,High,Pending,,,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0048
TCK0000111,CUST000137,2023-04-25,Subscription,Plan upgrade request,Medium,Resolved,1.1,5.0,I want to upgrade to the premium plan for better video quality and more simultaneous streams.,AGT0042
TCK0000112,CUST000138,2026-04-07,Billing & Payments,Failed payment,High,Closed,5.3,5.0,"Card declined during renewal, I had to retry three times before it finally went through and I am frustrated with this.",AGT0013
TCK0000113,CUST000138,2024-12-16,Streaming Quality,Audio sync issue,High,Escalated,,,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0025
TCK0000114,CUST000138,2024-09-25,Account Access,Password reset,Low,Resolved,2.9,5.0,I requested a password reset link three times but never received the email in my inbox or spam folder.,AGT0002
TCK0000115,CUST000139,2026-02-12,Device & App,App not loading,Low,Resolved,16.4,3.0,The app does not load past the splash screen on my gaming console since the last update.,AGT0102
TCK0000116,CUST000139,2025-04-16,Streaming Quality,Buffering,High,Closed,31.6,3.0,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0068
TCK0000117,CUST000141,2026-06-28,Device & App,Device not supported,Critical,Closed,12.1,4.0,My new smart TV model shows the app as unsupported even though older models work fine.,AGT0097
TCK0000118,CUST000141,2026-04-21,Billing & Payments,Duplicate charge,Low,Resolved,52.2,5.0,"I was billed twice for the same month, please refund the extra charge as soon as possible.",AGT0092
TCK0000119,CUST000143,2025-12-31,Billing & Payments,Failed payment,Medium,Resolved,55.2,2.0,"My payment failed twice this month even though my card has sufficient balance, and I still lost access to my account.",AGT0012
TCK0000120,CUST000145,2020-10-27,Subscription,Cancellation request,Medium,Resolved,52.6,5.0,"I want to cancel my subscription immediately, I have not been using the service for the last few months.",AGT0118
TCK0000121,CUST000147,2025-12-29,Billing & Payments,Price dispute,Medium,Resolved,85.2,3.0,The price increased without any prior notice and I am not happy paying more for the same plan.,AGT0096
TCK0000122,CUST000148,2020-10-02,Content,Content unavailable in region,Medium,Pending,,,Several titles I could watch last month are now unavailable in my region without any explanation.,AGT0001
TCK0000123,CUST000148,2022-10-12,Account Access,Email verification issue,Low,Closed,8.1,3.0,The verification email never arrived after I updated my email address in account settings.,AGT0063
TCK0000124,CUST000148,2026-04-23,Device & App,Download failure,Low,Pending,,,Downloads for offline viewing keep failing at random percentages and I have to restart every time.,AGT0110
TCK0000125,CUST000149,2026-03-24,Billing & Payments,Duplicate charge,Low,Resolved,31.6,3.0,"I was billed twice for the same month, please refund the extra charge as soon as possible.",AGT0089
TCK0000126,CUST000150,2026-06-02,Streaming Quality,Buffering,Medium,Closed,10.3,4.0,The video quality drops and buffers every evening during peak hours which is very annoying.,AGT0040
TCK0000127,CUST000154,2023-01-10,Billing & Payments,Refund request,Medium,Resolved,6.0,3.0,I want to request a refund since I cancelled within the trial period but was still charged the full amount.,AGT0086
TCK0000128,CUST000157,2022-09-19,Content,Missing subtitles,Medium,Resolved,17.9,2.0,Subtitles are missing for several titles in my preferred language even though it is listed as available.,AGT0074
TCK0000129,CUST000158,2026-03-20,Streaming Quality,App crashing,Critical,Closed,12.4,4.0,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0002
TCK0000130,CUST000158,2024-08-22,Content,Content removed,Low,Escalated,,,A show I was halfway through watching was removed from the platform with no notice at all.,AGT0081
TCK0000131,CUST000158,2025-07-03,Streaming Quality,Audio sync issue,Low,Resolved,15.5,3.0,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0048
TCK0000132,CUST000159,2023-12-11,Content,Content removed,Low,Resolved,8.7,5.0,A show I was halfway through watching was removed from the platform with no notice at all.,AGT0071
TCK0000133,CUST000159,2025-01-26,Billing & Payments,Duplicate charge,Medium,Pending,,,"I was billed twice for the same month, please refund the extra charge as soon as possible.",AGT0013
TCK0000134,CUST000160,2026-06-30,Billing & Payments,Price dispute,Medium,Resolved,4.7,2.0,I did not receive any communication about the plan price change and feel this was handled poorly.,AGT0024
TCK0000135,CUST000160,2026-04-08,Subscription,Plan downgrade request,Low,Closed,6.9,3.0,"I would like to downgrade my plan next cycle, please let me know how to do that from my account settings.",AGT0005
TCK0000136,CUST000160,2025-11-07,Streaming Quality,Low resolution,Low,Pending,,,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0098
TCK0000137,CUST000161,2023-11-20,Streaming Quality,App crashing,Medium,Resolved,0.5,2.0,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0061
TCK0000138,CUST000161,2026-01-07,Account Access,Account locked,High,Resolved,32.1,5.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0111
TCK0000139,CUST000162,2023-07-04,Account Access,Password reset,Medium,Resolved,1.2,5.0,I requested a password reset link three times but never received the email in my inbox or spam folder.,AGT0064
TCK0000140,CUST000163,2024-09-16,Streaming Quality,Buffering,Critical,Resolved,65.9,2.0,The video quality drops and buffers every evening during peak hours which is very annoying.,AGT0100
TCK0000141,CUST000164,2019-07-31,Streaming Quality,App crashing,Medium,Resolved,3.1,5.0,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0092
TCK0000142,CUST000168,2026-01-31,Account Access,Email verification issue,Medium,Closed,18.9,2.0,The verification email never arrived after I updated my email address in account settings.,AGT0114
TCK0000143,CUST000169,2024-07-23,Billing & Payments,Duplicate charge,High,Pending,,,"I was billed twice for the same month, please refund the extra charge as soon as possible.",AGT0056
TCK0000144,CUST000170,2025-01-20,Account Access,Account locked,Medium,Closed,12.0,2.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0084
TCK0000145,CUST000171,2026-04-20,Subscription,Cancellation request,Medium,Resolved,0.9,2.0,"I want to cancel my subscription immediately, I have not been using the service for the last few months.",AGT0065
TCK0000146,CUST000171,2026-06-30,Billing & Payments,Refund request,Medium,Pending,,,I want to request a refund since I cancelled within the trial period but was still charged the full amount.,AGT0120
TCK0000147,CUST000172,2025-11-21,Billing & Payments,Duplicate charge,Low,Resolved,4.1,3.0,There are two identical transactions on my statement for this billing cycle which should not have happened.,AGT0076
TCK0000148,CUST000174,2026-06-05,Streaming Quality,App crashing,Medium,Pending,,,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0068
TCK0000149,CUST000178,2023-09-18,Account Access,Login failure,Critical,Resolved,1.6,2.0,"Login keeps failing after the recent app update, this has been going on for two days now.",AGT0082
TCK0000150,CUST000179,2024-05-04,Billing & Payments,Duplicate charge,Medium,Resolved,31.5,3.0,"I was billed twice for the same month, please refund the extra charge as soon as possible.",AGT0072
TCK0000151,CUST000179,2025-06-18,Content,Missing subtitles,High,Resolved,23.3,5.0,Subtitles are missing for several titles in my preferred language even though it is listed as available.,AGT0083
TCK0000152,CUST000179,2024-10-04,Subscription,Auto-renew complaint,High,Escalated,,,I was auto renewed without any reminder notification and would like a refund for this cycle.,AGT0070
TCK0000153,CUST000180,2021-11-08,Billing & Payments,Invoice question,Medium,Resolved,15.6,4.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0070
TCK0000154,CUST000184,2025-05-25,Device & App,App not loading,Critical,Escalated,,,The app does not load past the splash screen on my gaming console since the last update.,AGT0068
TCK0000155,CUST000185,2022-06-27,Streaming Quality,App crashing,Medium,Pending,,,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0062
TCK0000156,CUST000185,2020-05-21,Streaming Quality,Audio sync issue,Medium,Resolved,5.4,3.0,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0029
TCK0000157,CUST000185,2024-09-10,Content,Content removed,Low,Pending,,,A show I was halfway through watching was removed from the platform with no notice at all.,AGT0107
TCK0000158,CUST000186,2022-04-27,Account Access,Email verification issue,Medium,Resolved,11.4,3.0,The verification email never arrived after I updated my email address in account settings.,AGT0010
TCK0000159,CUST000187,2025-11-04,Billing & Payments,Duplicate charge,Medium,Resolved,32.0,2.0,There are two identical transactions on my statement for this billing cycle which should not have happened.,AGT0033
TCK0000160,CUST000190,2020-05-14,Account Access,Login failure,Low,Resolved,16.4,4.0,"Login keeps failing after the recent app update, this has been going on for two days now.",AGT0091
TCK0000161,CUST000190,2026-01-29,Streaming Quality,Buffering,Low,Closed,2.0,3.0,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0067
TCK0000162,CUST000192,2026-04-23,Account Access,Account locked,Low,Resolved,6.9,3.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0040
TCK0000163,CUST000193,2022-03-01,Billing & Payments,Duplicate charge,Medium,Resolved,20.3,4.0,"I was billed twice for the same month, please refund the extra charge as soon as possible.",AGT0093
TCK0000164,CUST000194,2025-08-18,Billing & Payments,Duplicate charge,Low,Escalated,,,There are two identical transactions on my statement for this billing cycle which should not have happened.,AGT0107
TCK0000165,CUST000194,2023-10-03,Billing & Payments,Price dispute,Low,Pending,,,The price increased without any prior notice and I am not happy paying more for the same plan.,AGT0119
TCK0000166,CUST000194,2026-01-06,Subscription,Cancellation request,Low,Closed,0.9,3.0,"Please cancel my plan, the content library does not match what I expected when I signed up.",AGT0061
TCK0000167,CUST000195,2024-02-21,Streaming Quality,Low resolution,Medium,Pending,,,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0072
TCK0000168,CUST000196,,Content,Content unavailable in region,Medium,Escalated,,,Several titles I could watch last month are now unavailable in my region without any explanation.,AGT0015
TCK0000169,CUST000197,2025-09-17,Billing & Payments,Failed payment,Critical,Resolved,3.1,2.0,"Card declined during renewal, I had to retry three times before it finally went through and I am frustrated with this.",AGT0057
